id,title,author,year,genres,readingLevel,pages,themes,mood,description,similarTo
b001,The Hobbit,J.R.R. Tolkien,1937,Fantasy; Adventure,middle-grade,310,quest; courage; friendship; greed; coming of age,"cozy, whimsical, adventurous","A comfort-loving hobbit named Bilbo Baggins is swept into a quest with thirteen dwarves to reclaim a treasure guarded by the dragon Smaug. A gentle doorway into epic fantasy with warmth, riddles, and a reluctant hero who grows braver than he believes.",The Chronicles of Narnia; Eragon
b002,Dune,Frank Herbert,1965,Science Fiction; Political Fiction,advanced,688,power; ecology; religion; destiny; colonialism,"dense, epic, philosophical","On the desert planet Arrakis, young Paul Atreides is drawn into a war over the universe's most valuable substance. A demanding, layered epic about ecology, prophecy, and the machinery of empire that rewards patient readers.",Foundation; Hyperion
b003,Project Hail Mary,Andy Weir,2021,Science Fiction; Thriller,intermediate,476,problem solving; friendship; survival; sacrifice,"funny, propulsive, optimistic","A lone astronaut wakes with amnesia aboard a spacecraft and must solve an extinction-level puzzle using only science and stubbornness. Fast, funny hard science fiction with an unforgettable alien friendship.",The Martian; Contact
b004,Pride and Prejudice,Jane Austen,1813,Classic; Romance,intermediate,432,class; marriage; pride; self knowledge; family,"witty, ironic, romantic",Elizabeth Bennet spars with the aloof Mr. Darcy while her family navigates the marriage market of Regency England. Razor-sharp social comedy whose banter still feels startlingly modern.,Jane Eyre; Emma
b005,The Song of Achilles,Madeline Miller,2011,Historical Fiction; Romance; Mythology,intermediate,378,love; fate; war; grief; glory,"lyrical, tender, devastating",The Trojan War retold through the love between Patroclus and Achilles. Gorgeous prose and an ending that reliably breaks readers open; a perfect entry into Greek myth retellings.,Circe; The Iliad
b006,Circe,Madeline Miller,2018,Historical Fiction; Mythology; Fantasy,intermediate,393,power; womanhood; exile; transformation; mortality,"lush, meditative, quietly fierce","The witch Circe, banished to a lonely island, forges her own power across centuries of gods and mortals. A slower, more introspective companion to The Song of Achilles about becoming yourself on your own terms.",The Song of Achilles; Ariadne
b007,Educated,Tara Westover,2018,Memoir; Nonfiction,intermediate,334,education; family loyalty; abuse; self invention; faith,"tense, clear-eyed, propulsive","Raised by survivalist parents in rural Idaho with no formal schooling, Westover claws her way to a Cambridge PhD. A memoir about what education costs when it separates you from the people who raised you.",The Glass Castle; Hillbilly Elegy
b008,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,Nonfiction; History; Science,intermediate,443,evolution; cooperation; myth; capitalism; happiness,"sweeping, provocative, conversational","A 70,000-year tour of how an unremarkable ape came to dominate the planet through shared fictions like money, nations, and religion. Big, argumentative popular history that is easy to read and easy to argue with.","Guns, Germs, and Steel; Homo Deus"
b009,Atomic Habits,James Clear,2018,Nonfiction; Self-Help; Psychology,beginner,320,behavior change; systems; identity; consistency,"practical, brisk, actionable",A concrete system for building good habits and breaking bad ones by shaping environment and identity rather than relying on willpower. Short chapters and checklists make it an easy first nonfiction read.,The Power of Habit; Deep Work
b010,"Thinking, Fast and Slow",Daniel Kahneman,2011,Nonfiction; Psychology; Science,advanced,499,cognitive bias; decision making; risk; intuition,"rigorous, dense, rewarding",The Nobel laureate's account of the two systems driving how we think: fast intuition and slow deliberation. Denser than most pop psychology and worth the effort if you want the primary source rather than the summary.,Predictably Irrational; Nudge
b011,The Name of the Wind,Patrick Rothfuss,2007,Fantasy,intermediate,662,music; magic school; grief; storytelling; revenge,"beautiful prose, immersive, melancholy","Kvothe, an infamous wizard turned innkeeper, narrates his own legend from orphaned street child to arcane university student. Beloved for sentence-level beauty; be warned the series is unfinished.",The Lies of Locke Lamora; A Wizard of Earthsea
b012,Mistborn: The Final Empire,Brandon Sanderson,2006,Fantasy; Heist,intermediate,541,rebellion; trust; class oppression; sacrifice,"propulsive, clever, satisfying","A street thief discovers she can fuel magic by burning metals and joins a crew plotting to overthrow an immortal god-emperor. A heist plot on top of the most satisfying rule-based magic system in modern fantasy, and it actually finishes.",The Name of the Wind; Six of Crows
b013,Six of Crows,Leigh Bardugo,2015,Fantasy; Young Adult; Heist,young-adult,465,found family; trauma; loyalty; cunning,"gritty, sharp, ensemble-driven","Six outcasts attempt an impossible prison break in a canal city of gangs and gambling dens. Rotating viewpoints, banter, and a crew you get attached to fast.",The Lies of Locke Lamora; Mistborn
b014,The Hunger Games,Suzanne Collins,2008,Young Adult; Dystopian; Science Fiction,young-adult,374,survival; spectacle; inequality; propaganda,"urgent, tense, unputdownable",Katniss Everdeen volunteers for a televised death match to save her sister. Lean first-person prose and relentless pacing; the classic gateway out of a reading slump.,Divergent; Battle Royale
b015,1984,George Orwell,1949,Classic; Dystopian; Political Fiction,intermediate,328,surveillance; language; totalitarianism; truth,"bleak, claustrophobic, essential","Winston Smith rewrites history for a Party that controls even the words available to think with. The book that gave us doublethink and Big Brother, and still the sharpest fiction about political language.",Brave New World; Fahrenheit 451
b016,Brave New World,Aldous Huxley,1932,Classic; Dystopian; Science Fiction,intermediate,311,pleasure; conditioning; conformity; technology,"cool, satirical, unsettling",A society engineered for stability medicates away discontent and breeds citizens to order. The counterpart to 1984: control through comfort rather than fear.,1984; We
b017,Klara and the Sun,Kazuo Ishiguro,2021,Literary Fiction; Science Fiction,intermediate,303,love; consciousness; loneliness; faith; obsolescence,"quiet, restrained, aching","An artificial friend observes the family that buys her with devoted, imperfect understanding. Gentle, slow, and quietly heartbreaking science fiction for readers who prefer interiority to action.",Never Let Me Go; Piranesi
b018,Never Let Me Go,Kazuo Ishiguro,2005,Literary Fiction; Science Fiction,intermediate,288,mortality; friendship; acceptance; memory,"melancholy, understated, devastating","Three friends at an isolated English boarding school slowly understand the purpose their lives were designed for. Withholding, elegiac, and quietly one of the saddest novels of the century.",Klara and the Sun; The Remains of the Day
b019,Piranesi,Susanna Clarke,2020,Fantasy; Literary Fiction; Mystery,intermediate,245,memory; wonder; isolation; identity,"dreamlike, gentle, mysterious","A man keeps careful journals of the endless statue-filled halls of the House he believes is the whole world. Short, strange, and deeply kind; best read knowing as little as possible.",The Ocean at the End of the Lane; Klara and the Sun
b020,Gone Girl,Gillian Flynn,2012,Thriller; Mystery,intermediate,415,marriage; media; deception; performance,"nasty, twisty, addictive",A wife vanishes on her fifth anniversary and her husband becomes the prime suspect. Two unreliable narrators and a midpoint twist that redefined the modern domestic thriller.,The Girl on the Train; Sharp Objects
